Gene Marker Symbol_x,Gene MGI Accession ID_x,Viability
Hrasls5,MGI:1913977,Viable
Hrnr,MGI:3046938,Viable
Hs3st3b1,MGI:1333853,Viable
Hsbp1l1,MGI:1913505,Viable
Hspb6,MGI:2685325,Viable
Htra3,MGI:1925808,Viable
Iars2,MGI:1919586,Lethal
Icam5,MGI:109430,Viable
Ier2,MGI:104815,Viable
Igf2bp3,MGI:1890359,Viable
Igsf8,MGI:2154090,Viable
Ikzf4,MGI:1343139,Viable
Il18rap,MGI:1338888,Viable
Il1rl1,MGI:98427,Viable
Il20rb,MGI:2143266,Viable
Il33,MGI:1924375,Viable
Il6ra,MGI:105304,Viable
Ing4,MGI:107307,Viable
Iqca,MGI:1922168,Viable
Iqcj,MGI:3644166,Viable
Irgm2,MGI:1926262,Viable
Irx3,MGI:1197522,Viable
Itln1,MGI:1333831,Viable
Itm2c,MGI:1927594,Viable
Josd1,MGI:1921408,Viable
Jpt1,MGI:1096361,Viable
Kank1,MGI:2147707,Viable
Kat2b,MGI:1343094,Viable
Kcna10,MGI:3037820,Lethal
Kcnb2,MGI:99632,Viable
Kcnc3,MGI:96669,Viable
Kcnd3,MGI:1928743,Viable
Kcng2,MGI:3694646,Viable
Kcnj11,MGI:107501,Viable
Kcnk13,MGI:2384976,Viable
Kcns2,MGI:1197011,Viable
Kctd1,MGI:1918269,Viable
Kctd13,MGI:1923739,Viable
Kctd17,MGI:1920094,Viable
Kctd7,MGI:2442265,Viable
Kctd9,MGI:2145579,Viable
Kdm5a,MGI:2136980,Lethal
Kera,MGI:1202398,Viable
Kif15,MGI:1098258,Viable
Klf14,MGI:3577024,Viable
Klhl2,MGI:1924363,Viable
Klk6,MGI:1343166,Viable
Klra7,MGI:101901,Viable
Kmt2a,MGI:96995,Lethal
Kmt2c,MGI:2444959,Lethal
Kri1,MGI:2384899,Lethal
Krt77,MGI:3588209,Viable
Krt80,MGI:1921377,Viable
Krt90,MGI:3045312,Viable
Kynu,MGI:1918039,Viable
L3mbtl3,MGI:2143628,Lethal
L3mbtl4,MGI:2444889,Viable
Lamp5,MGI:1923411,Viable
Large2,MGI:2443769,Viable
Larp1b,MGI:1914604,Viable
Lgals4,MGI:107536,Viable
Lmcd1,MGI:1353635,Viable
Lmo7,MGI:1353586,Viable
Loxl1,MGI:106096,Viable
Lpgat1,MGI:2446186,Lethal
Lrba,MGI:1933162,Viable
Lrrc30,MGI:2685172,Viable
Lrrc8c,MGI:2140839,Viable
Lta4h,MGI:96836,Viable
Ly6e,MGI:106651,Lethal
Lypd5,MGI:1924192,Viable
Lzts1,MGI:2684762,Viable
Maats1,MGI:2443598,Viable
Macrod1,MGI:2147583,Viable
Map3k13,MGI:2444243,Viable
Mast1,MGI:1861901,Viable
Matn4,MGI:1328314,Viable
Mbd1,MGI:1333811,Viable
Mbd2,MGI:1333813,Viable
Mbl2,MGI:96924,Viable
Mccc2,MGI:1925288,Lethal
Mcidas,MGI:3648807,Viable
Mcmbp,MGI:1920977,Lethal
Mctp1,MGI:1926021,Viable
Med10,MGI:106331,Lethal
Med20,MGI:1929648,Lethal
Med23,MGI:1917458,Lethal
Mettl3,MGI:1927165,Lethal
Mgme1,MGI:1921778,Viable
Mgrn1,MGI:2447670,Viable
Micalcl,MGI:1918127,Viable
Mkrn2,MGI:1914277,Viable
Mkrn3,MGI:2181178,Viable
Mllt6,MGI:1935145,Viable
Mmaa,MGI:1923805,Viable
Mon1a,MGI:1920075,Viable
Morc2a,MGI:1921772,Lethal
Mpdz,MGI:1343489,Viable
Mpp6,MGI:1927340,Viable
Mpped2,MGI:1924265,Viable
Mpv17,MGI:97138,Viable
Mpz,MGI:103177,Viable
Mrgprb2,MGI:2441674,Viable
Mrgprx1,MGI:3033139,Viable
Mrpl3,MGI:2137204,Lethal
Mrpl44,MGI:1916413,Lethal
Mt1,MGI:97171,Viable
Muc3a,MGI:3588263,Viable
Mum1,MGI:1915364,Viable
Mvk,MGI:107624,Lethal
Myh10,MGI:1930780,Lethal
Myl10,MGI:1891705,Viable
Mylk4,MGI:3643758,Viable
Myo18b,MGI:1921626,Lethal
Myo1d,MGI:107728,Viable
Myo5c,MGI:2442485,Viable
Myom1,MGI:1341430,Viable
Nacc1,MGI:1914080,Viable
Nadk2,MGI:1915896,Lethal
Nalcn,MGI:2444306,Lethal
Nanos2,MGI:2676627,Viable
Nars2,MGI:2142075,Lethal
Ncbp1,MGI:1891840,Lethal
Ncbp2,MGI:1915342,Lethal
Ndufs2,MGI:2385112,Lethal
Ndufs8,MGI:2385079,Lethal
Neil2,MGI:2686058,Viable
Nek2,MGI:109359,Viable
Nhlh2,MGI:97324,Viable
Nhs,MGI:2684894,Viable
Nim1k,MGI:2442399,Viable
Nipsnap2,MGI:1278343,Viable
Npffr1,MGI:2685082,Viable
Npffr2,MGI:1860130,Viable
Nr2f6,MGI:1352453,Viable
Nrap,MGI:1098765,Viable
Nt5dc1,MGI:2442446,Viable
Nxn,MGI:109331,Lethal
Oard1,MGI:2146818,Viable
Oaz2,MGI:109492,Viable
Ofcc1,MGI:2658851,Viable
Olfml2b,MGI:2443310,Viable
Olfr376,MGI:3030210,Viable
Olfr392,MGI:3030226,Viable
Orc6,MGI:1929285,Lethal
Osbpl10,MGI:1921736,Viable
Osbpl5,MGI:1930265,Viable
Ostn,MGI:2677164,Viable
Otogl,MGI:3647600,Viable
Otud3,MGI:1920412,Viable
P2ry14,MGI:2155705,Viable
Pabpc4l,MGI:3643087,Viable
Pacrg,MGI:1916560,Viable
Paf1,MGI:1923988,Lethal
Pak6,MGI:2679420,Viable
Palm,MGI:1261814,Viable
Patj,MGI:1277960,Viable
Pbld1,MGI:1915621,Viable
Pbld2,MGI:1914557,Viable
Pcdh12,MGI:1855700,Viable
Pcdh15,MGI:1891428,Viable
Pcnx2,MGI:2445010,Viable
Pcyox1l,MGI:3606062,Viable
Pde6a,MGI:97524,Viable
Pdgfrl,MGI:1916047,Viable
Pdik1l,MGI:2385213,Viable
Pdlim1,MGI:1860611,Viable
Pdp1,MGI:2685870,Viable
Pdyn,MGI:97535,Viable
Pebp1,MGI:1344408,Viable
Pgbd1,MGI:2441675,Viable
Phactr1,MGI:2659021,Viable
Phactr2,MGI:2446138,Viable
Phf21b,MGI:2443812,Viable
Phf3,MGI:2446126,Viable
Phf7,MGI:1919088,Viable
Phip,MGI:1932404,Lethal
Phkb,MGI:97578,Lethal
Phldb2,MGI:2444981,Viable
Pi15,MGI:1934659,Viable
Pigc,MGI:1914542,Lethal
Pitx1,MGI:107374,Lethal
Pkhd1l1,MGI:2183153,Viable
Pla2g16,MGI:2179715,Viable
Pla2g7,MGI:1351327,Viable
Plcz1,MGI:2150308,Viable
Plekhf1,MGI:1919537,Lethal
Plet1,MGI:1923759,Viable
Plk5,MGI:3026984,Viable
Pnma1,MGI:2180564,Viable
Pnma2,MGI:2444129,Viable
Poc5,MGI:1914713,Viable
Polr3a,MGI:2681836,Lethal
Polr3b,MGI:1917678,Lethal
Ppp1cb,MGI:104871,Lethal
Ppp1cc,MGI:104872,Viable
Ppp1r14a,MGI:1931139,Viable
Ppp1r1a,MGI:1889595,Viable
Ppp1r3a,MGI:2153588,Viable
Ppp2r5e,MGI:1349473,Viable
Ppp4r1,MGI:1917601,Viable
Prag1,MGI:1196223,Viable
Prdm13,MGI:2448528,Viable
Prdm14,MGI:3588194,Viable
Prdm2,MGI:107628,Viable
Prdm5,MGI:1918029,Viable
Prickle4,MGI:2685785,Viable
Prkag2,MGI:1336153,Viable
Prl7d1,MGI:97619,Viable
Prmt6,MGI:2139971,Viable
Prpf4b,MGI:109584,Lethal
Prss36,MGI:1924863,Viable
Prss53,MGI:2652890,Viable
Prss56,MGI:1916703,Viable
Psg17,MGI:1347250,Viable
Psg27,MGI:1891359,Viable
Pstpip2,MGI:1335088,Viable
Ptp4a1,MGI:1277096,Viable
Ptprm,MGI:102694,Viable
Pttg1ip,MGI:2652132,Viable
Pvr,MGI:107741,Viable
Rab11b,MGI:99425,Viable
Rab11fip3,MGI:2444431,Viable
Rab11fip4,MGI:2442920,Viable
Rab12,MGI:894284,Viable
Rab22a,MGI:105072,Viable
Rab2a,MGI:1928750,Lethal
Rab40b,MGI:2183451,Viable
Rab4b,MGI:105071,Viable
Rab5b,MGI:105938,Viable
Rab6b,MGI:107283,Viable
Radil,MGI:2443088,Viable
Raly,MGI:97850,Viable
Rapgef5,MGI:2444365,Viable
Rasal1,MGI:1330842,Viable
Rbm22,MGI:1914060,Lethal
Rbm25,MGI:1914289,Lethal
Rbpms2,MGI:1919223,Viable
Rep15,MGI:1913782,Viable
Rfc2,MGI:1341868,Lethal
Rgs19,MGI:1915153,Viable
Rgs20,MGI:1929866,Viable
Rhbdf2,MGI:2442473,Viable
Rimbp2,MGI:2443235,Viable
Rmnd5b,MGI:1913339,Viable
Rnase1,MGI:97919,Viable
Rnd2,MGI:1338755,Viable
Rnf114,MGI:1933159,Viable
Rnf135,MGI:1919206,Viable
Rnf144a,MGI:1344401,Viable
Rnf24,MGI:1261771,Viable
Rprd1a,MGI:2385066,Viable
Rps12,MGI:98105,Lethal
Rps6ka1,MGI:104558,Viable
Rragd,MGI:1098604,Viable
Rras,MGI:98179,Viable
Rtl10,MGI:3833934,Viable
Rttn,MGI:2179288,Lethal
Rusc1,MGI:1919546,Viable
Rxfp3,MGI:2441827,Viable
Sacs,MGI:1354724,Viable
Saraf,MGI:1915137,Viable
Sash1,MGI:1917347,Lethal
Sbk2,MGI:2685925,Viable
Scaf11,MGI:1919443,Viable
Scamp2,MGI:1346518,Viable
Scarb2,MGI:1196458,Viable
Scgb1c1,MGI:2655401,Viable
Scn2b,MGI:106921,Viable
Scn4b,MGI:2687406,Viable
Sdf2l1,MGI:2149842,Viable
Sdr42e1,MGI:1921282,Viable
Sebox,MGI:108012,Viable
Sec14l1,MGI:1921386,Viable
Sec24d,MGI:1916858,Lethal
Sec61b,MGI:1913462,Viable
Sel1l3,MGI:1916941,Viable
Serp2,MGI:1919911,Viable
Serpina1f,MGI:1915598,Viable
Serpina3n,MGI:105045,Viable
Serpinb3d,MGI:2683295,Viable
Serpinb9b,MGI:894668,Viable
Serpinb9c,MGI:894669,Viable
Sgsh,MGI:1350341,Viable
Sh3d19,MGI:1350923,Viable
Shank2,MGI:2671987,Viable
Shisa7,MGI:3605641,Viable
Shprh,MGI:1917581,Viable
Skp2,MGI:1351663,Viable
Slc22a17,MGI:1926225,Lethal
Slc23a3,MGI:104516,Viable
Slc25a24,MGI:1917160,Viable
Slc25a46,MGI:1914703,Viable
Slc26a10,MGI:2143920,Viable
Slc28a3,MGI:2137361,Viable
Slc2a12,MGI:3052471,Viable
Slc3a1,MGI:1195264,Viable
Slc44a2,MGI:1915932,Viable
Slc6a20b,MGI:1336891,Viable
Slc8b1,MGI:2180781,Viable
Slco6c1,MGI:1921691,Viable
Slmap,MGI:1933549,Lethal
Smarcd3,MGI:1914243,Lethal
Smg5,MGI:2447364,Lethal
Smg9,MGI:1919247,Lethal
Smim1,MGI:1916109,Viable
Smpdl3a,MGI:1931437,Viable
Snx10,MGI:1919232,Viable
Sorcs2,MGI:1932289,Viable
Spaca9,MGI:1917237,Viable
Spata46,MGI:1924175,Viable
Spatc1l,MGI:1923823,Viable
Spink12,MGI:1925492,Viable
Spred3,MGI:2142186,Viable
Sprr1a,MGI:106660,Viable
Spx,MGI:2442262,Viable
Sqor,MGI:1929899,Viable
Ssc5d,MGI:3606211,Viable
Ssh1,MGI:2686240,Viable
Ssx2ip,MGI:2139150,Viable
St6gal2,MGI:2445190,Viable
St6galnac3,MGI:1341828,Viable
Stau2,MGI:1352508,Viable
Stk11ip,MGI:1918978,Lethal
Stk3,MGI:1928487,Viable
Stk36,MGI:1920831,Viable
Stpg4,MGI:1922717,Viable
Stx7,MGI:1858210,Viable
Suclg1,MGI:1927234,Lethal
Suv39h2,MGI:1890396,Viable
Syt7,MGI:1859545,Viable
Tardbp,MGI:2387629,Lethal
Tas2r102,MGI:2681171,Viable
Tas2r116,MGI:1890258,Viable
Tas2r119,MGI:2681253,Viable
Tas2r131,MGI:2681280,Viable
Tas2r139,MGI:2681308,Viable
Tbc1d16,MGI:2652878,Viable
Tbc1d30,MGI:1921944,Viable
Tbc1d31,MGI:2684931,Viable
Tbc1d5,MGI:1919488,Viable
Tbc1d8,MGI:1927225,Viable
Tcerg1,MGI:1926421,Lethal
Tcf23,MGI:1934960,Viable
Tctn3,MGI:1914840,Lethal
Tecpr2,MGI:2144865,Viable
Tedc1,MGI:2144738,Lethal
Telo2,MGI:1918968,Lethal
Tex2,MGI:102465,Viable
Tfeb,MGI:103270,Lethal
Tfr2,MGI:1354956,Viable
Tgfbr3l,MGI:3833469,Viable
